StoreName,Street,City,State,StoreTiminings,Phone,Latitude,Longitude,Zipcode
Choice Pet Westport,374 Post Rd E,Westport,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 226-1111,41.140083,-73.35266,06880
Choice Pet Stamford,949 High Ridge Rd,Stamford,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 968-2600,41.103835,-73.547863,06905
Choice Pet Norwalk,360 Connecticut Ave,Norwalk,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 853-2777,41.102478,-73.440226,06854
Choice Pet North Haven,63 Washington Ave,North Haven,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 234-1711,41.393817,-72.862205,06473
Choice Pet Monroe,535 Monroe Turnpike,Monroe,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 261-1222,41.319099,-73.214191,06468
Choice Pet Greenwich,80 E Putnam Ave,Greenwich,CT,"7:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 869-4999,41.032922,-73.624168,06830
Choice Pet Danbury,67 Newtown Rd,Danbury,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 792-5800,41.407178,-73.414985,06810
Choice Pet Fairfield,1947 Black Rock Turnpike,Fairfield,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(203) 334-4242,41.179985,-73.249032,06825
Choice Pet Ridgefield,125 Danbury Road Ste 6,Ridgefield,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN","Store: (203) 244-5025,Grooming: (203) 244-5198",41.2950378,-73.4961946,06877
Choice Pet Southbury,100 Main Street N Ste 11,Southbury,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN","Store: (203) 405-1303,Grooming: (203) 405-3381",41.4790105,-73.2131097,06488
Choice Pet Old Saybrook,28 Spencer Plains Road,,CT,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(860) 339-5282,41.2876939,-72.4193576,06475
Choice Pet New Providence,1260 Springfield Ave,New Providence,NJ,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(908) 665-8600,40.705546,-74.404882,07974
Choice Pet Somers,80 US Route 6,Baldwin Place,NY,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(914) 628-8888,41.343411,-73.756953,10505
Choice Pet Scarsdale,1 Palmer Ave,Scarsdale,NY,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(914) 725-3022,40.984758,-73.775043,10583
Choice Pet Hartsdale,241 N Central Ave,Hartsdale,NY,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(914) 684-1444,41.026169,-73.793048,10530
Choice Pet Carmel,1920 US Route 6,Carmel,NY,"8:00 am - 9:00 pm MON - SAT, 9:00 am - 7:00 pm SUN",(845) 225-2762,41.411903,-73.663962,10512
